kml_nombre,kml_lat,kml_lon,kml_capa,kml_category,action,osm_id,osm_name,distance_m,notes
PH-46,-8.0989125,-79.1094810,Consolidado,green,new,,,,
PH-55,-8.1011311,-79.0574763,Consolidado,green,new,,,,
PH-57,-8.1049948,-79.0996378,Consolidado,green,new,,,,
PH-58,-8.1028484,-79.0988919,Consolidado,green,new,,,,
PH-59,-8.0991141,-79.0991171,Consolidado,green,new,,,,
PH-60,-8.0957239,-79.0986323,Consolidado,green,new,,,,
PH-61,-8.0926387,-79.0978411,Consolidado,green,new,,,,
PH-62,-8.0898048,-79.0970780,Consolidado,green,new,,,,
PH-7,-8.0765994,-79.1176733,Consolidado,green,new,,,,
PH-73,-8.0894992,-79.0970211,Consolidado,green,new,,,,
PH-74,-8.0923390,-79.0977797,Consolidado,green,new,,,,
PH-75,-8.0955774,-79.0986306,Consolidado,green,new,,,,
PH-76,-8.0988643,-79.0991120,Consolidado,green,new,,,,
PH-77,-8.1026599,-79.0989491,Consolidado,green,new,,,,
PH-78,-8.1050310,-79.0994216,Consolidado,green,new,,,,
PH-79,-8.1029646,-79.1024055,Consolidado,green,new,,,,
PH-8,-8.0734127,-79.1183684,Consolidado,green,new,,,,
PH-81,-8.0889465,-79.0916476,Consolidado,green,new,,,,
PH-83,-8.0907488,-79.0526884,Consolidado,green,new,,,,
PH-87,-8.0898841,-79.0538717,Consolidado,green,new,,,,
PH-9,-8.0756212,-79.1190308,Consolidado,green,new,,,,
PH-91,-8.0162428,-79.0718624,Consolidado,green,new,,,,
PH-97,-8.0340704,-79.0665462,Consolidado,green,new,,,,
PH-98,-8.0348317,-79.0689048,Consolidado,green,new,,,,
PP-100,-8.0754198,-79.0057421,Consolidado,green,new,,,,
PP-11,-8.0829353,-78.9928229,Consolidado,green,new,,,,
PP-12,-8.0799871,-78.9936224,Consolidado,green,new,,,,
PP-122,-8.0752439,-79.0049673,Consolidado,green,new,,,,
PP-123,-8.0750171,-79.0052388,Consolidado,green,new,,,,
PP-128,-8.0759705,-79.0081743,Consolidado,green,new,,,,
PP-129,-8.0761080,-79.0078545,Consolidado,green,new,,,,
PP-132,-8.0725376,-79.0108963,Consolidado,green,new,,,,
PP-149,-8.0724742,-79.0026743,Consolidado,green,new,,,,
PP-150,-8.0725658,-79.0027052,Consolidado,green,new,,,,
PP-156,-8.0685459,-78.9938130,Consolidado,green,new,,,,
PP-163,-8.0755903,-78.9934329,Consolidado,green,new,,,,
PP-168,-8.0711607,-78.9922652,Consolidado,green,new,,,,
PP-183,-8.0716927,-79.0175100,Consolidado,green,new,,,,
PP-186,-8.0714825,-79.0179681,Consolidado,green,new,,,,
PP-27,-8.0889930,-78.9940735,Consolidado,green,new,,,,
PP-3,-8.0657022,-78.9887117,Consolidado,green,new,,,,
PP-39,-8.0795148,-78.9998016,Consolidado,green,new,,,,
PP-4,-8.0702459,-78.9866036,Consolidado,green,new,,,,
PP-42,-8.0891372,-78.9941117,Consolidado,green,new,,,,
PP-46,-8.0831629,-78.9955326,Consolidado,green,new,,,,
PP-47,-8.0834177,-78.9952695,Consolidado,green,new,,,,
PP-48,-8.0815139,-78.9990939,Consolidado,green,new,,,,
PP-59,-8.0799968,-78.9937284,Consolidado,green,new,,,,
